"xCoord","yCoord","year","env1","env2"
57,0,0,3.70645161290323,1.10587096774194
58,0,0,3.74193548387097,1.10761290322581
59,0,0,4.35483870967742,1.05658064516129
0,1,0,6.05161290322581,0.978290322580645
1,1,0,6.06774193548387,0.979870967741935
2,1,0,6.16129032258065,0.974903225806452
3,1,0,6.22903225806452,0.971064516129032
4,1,0,6.26774193548387,0.970709677419355
5,1,0,6.29354838709677,0.969838709677419
6,1,0,6.3258064516129,0.968193548387097
7,1,0,6.36774193548387,0.967322580645161
8,1,0,6.3741935483871,0.966290322580645
9,1,0,6.40645161290323,0.961
10,1,0,6.48387096774194,0.951935483870968
11,1,0,6.52903225806452,0.946193548387097
12,1,0,6.53225806451613,0.942967741935484
13,1,0,6.52903225806452,0.942032258064516
14,1,0,6.58709677419355,0.936064516129032
15,1,0,6.5741935483871,0.937
16,1,0,6.59032258064516,0.937032258064516
17,1,0,6.59354838709677,0.939967741935484
18,1,0,6.60322580645161,0.944064516129032
19,1,0,6.65806451612903,0.947451612903226
20,1,0,6.68709677419355,0.95541935483871
21,1,0,6.68387096774194,0.969483870967742
22,1,0,6.66451612903226,0.986612903225806
23,1,0,6.60322580645161,1.0078064516129
24,1,0,6.46451612903226,1.03825806451613
25,1,0,6.22258064516129,1.07867741935484
26,1,0,5.88064516129032,1.13045161290323
27,1,0,5.55161290322581,1.17406451612903
28,1,0,5.56774193548387,1.1751935483871
29,1,0,4.54838709677419,1.26438709677419
30,1,0,4.29354838709677,1.286
31,1,0,5.08709677419355,1.19922580645161
32,1,0,5.17096774193548,1.17738709677419
33,1,0,5.04516129032258,1.17583870967742
34,1,0,5.13548387096774,1.14961290322581
35,1,0,5.16774193548387,1.13103225806452
36,1,0,4.76451612903226,1.16087096774194
37,1,0,4.4,1.18825806451613
38,1,0,4.57741935483871,1.15009677419355
39,1,0,4.04193548387097,1.20683870967742
40,1,0,3.71290322580645,1.24032258064516
41,1,0,3.80967741935484,1.21177419354839
42,1,0,4.10967741935484,1.15270967741935
43,1,0,3.68387096774194,1.20170967741935
44,1,0,3.44516129032258,1.22096774193548
45,1,0,3.30645161290323,1.2248064516129
46,1,0,2.47096774193548,1.34070967741935
47,1,0,3.07741935483871,1.22835483870968
48,1,0,3.32903225806452,1.17609677419355
49,1,0,2.67741935483871,1.26477419354839
50,1,0,2.62903225806452,1.25961290322581
51,1,0,2.97096774193548,1.19564516129032
52,1,0,2.37096774193548,1.28345161290323
